


User 0%, System 4%, IOW 0%, IRQ 0%
User 3 + Nice 0 + Sys 14 + Idle 287 + IOW 0 + IRQ 0 + SIRQ 0 = 304

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
   32  6   0% R     1      0K      0K  fg root     ksoftirqd/6
   34  6   0% S     1      0K      0K  fg root     kworker/6:0H
   35  7   0% R     1      0K      0K  fg root     migration/7
   36  7   0% R     1      0K      0K  fg root     ksoftirqd/7
   37  7   0% S     1      0K      0K  fg root     kworker/7:0
   38  7   0% S     1      0K      0K  fg root     kworker/7:0H
   39  4   0% S     1      0K      0K  fg root     khelper
   40  4   0% S     1      0K      0K  fg root     fs_sync
   41  4   0% S     1      0K      0K  fg root     suspend
   42  4   0% S     1      0K      0K  fg root     writeback
   43  4   0% S     1      0K      0K  fg root     bioset
   44  4   0% S     1      0K      0K  fg root     crypto
   45  4   0% S     1      0K      0K  fg root     kblockd
   46  5   0% S     1      0K      0K  fg root     khubd
   47  5   0% S     1      0K      0K  fg root     kworker/5:1
   48  0   0% S     1      0K      0K  fg root     cfg80211
   49  0   0% S     1      0K      0K  fg root     pmic_thread_kth
   50  0   0% S     1      0K      0K  fg root     touch_freq_up_t
   52  1   0% S     1      0K      0K  fg root     kworker/1:1
   60  1   0% S     1      0K      0K  fg root     kswapd0
   61  0   0% S     1      0K      0K  fg root     fsnotify_mark
   80  2   0% S     1      0K      0K  fg root     ion_mm_heap
   81  0   0% D     1      0K      0K  fg root     hang_detect
   82  4   0% S     1      0K      0K  fg root     emi_mpu
   83  4   0% S     1      0K      0K  fg root     kthermp
   84  1   0% S     1      0K      0K  fg root     conn-md-thread
   85  4   0% S     1      0K      0K  fg root     kworker/u17:0
   86  4   0% S     1      0K      0K  fg root     mtk_vibrator
   87  0   0% S     1      0K      0K  fg root     btif_rxd
   88  4   0% S     1      0K      0K  fg root     uether
   89  4   0% S     1      0K      0K  fg root     uether_rx1
   90  4   0% S     1      0K      0K  fg root     binder
   91  3   0% S     1      0K      0K  fg root     kworker/u16:1
   92  4   0% D     1      0K      0K  fg root     mt6333_thread_k
   93  5   0% S     1      0K      0K  fg root     disp_config_upd
   95  2   0% S     1      0K      0K  fg root     mmcqd/0boot0
   96  4   0% S     1      0K      0K  fg root     mmcqd/0boot1
   97  4   0% S     1      0K      0K  fg root     mmcqd/0rpmb
   99  0   0% S     1      0K      0K  fg root     disp_clean_up_k
  100  0   0% S     1      0K      0K  fg root     disp_worker_kth
  101  4   0% S     1      0K      0K  fg root     accdet
  102  1   0% S     1      0K      0K  fg root     accdet_eint
  103  4   0% S     1      0K      0K  fg root     accdet_disable
  104  0   0% D     1      0K      0K  fg root     bat_thread_kthr
  105  0   0% S     1      0K      0K  fg root     mtk charger_hv_
  106  0   0% S     1      0K      0K  fg root     ptp volt
  107  0   0% S     1      0K      0K  fg root     mtk-tpd
  108  0   0% S     1      0K      0K  fg root     deferwq
  110  0   0% D     1      0K      0K  fg root     wdtk-0
  111  0   0% D     1      0K      0K  fg root     wdtk-1
  112  0   0% D     1      0K      0K  fg root     wdtk-2
  113  0   0% D     1      0K      0K  fg root     wdtk-3
  114  0   0% D     1      0K      0K  fg root     wdtk-4
  115  0   0% D     1      0K      0K  fg root     wdtk-5
  116  0   0% D     1      0K      0K  fg root     wdtk-6
  117  0   0% D     1      0K      0K  fg root     wdtk-7
  118  4   0% S     1      0K      0K  fg root     sensor_polling
  119  4   0% S     1      0K      0K  fg root     kworker/4:1
  120  2   0% S     1      0K      0K  fg root     kworker/2:1
  121  3   0% S     1      0K      0K  fg root     kworker/3:1
  122  6   0% S     1      0K      0K  fg root     kworker/6:1
  123  7   0% S     1      0K      0K  fg root     kworker/7:1
  124  4   0% S     1      0K      0K  fg root     f_mtp
  125  1   0% S     1      0K      0K  fg root     file-storage
  126  0   0% S     1   8792K    296K  fg root     /sbin/ueventd
  128  4   0% S     1      0K      0K  fg root     kworker/4:1H
  129  1   0% S     1      0K      0K  fg root     jbd2/mmcblk0p6-
  130  0   0% S     1      0K      0K  fg root     ext4-dio-unwrit
  132  5   0% S     1      0K      0K  fg root     kworker/5:1H
  137  0   0% S     1      0K      0K  fg root     jbd2/mmcblk0p8-
  138  0   0% S     1      0K      0K  fg root     ext4-dio-unwrit
  142  0   0% S     1      0K      0K  fg root     jbd2/mmcblk0p7-
  143  0   0% S     1      0K      0K  fg root     ext4-dio-unwrit
  149  2   0% S     1      0K      0K  fg root     jbd2/mmcblk0p2-
  150  4   0% S     1      0K      0K  fg root     ext4-dio-unwrit
  156  2   0% S     1      0K      0K  fg root     jbd2/mmcblk0p3-
  157  4   0% S     1      0K      0K  fg root     ext4-dio-unwrit
  168  1   0% S     1      0K      0K  fg root     loop0
  172  3   0% S     5  18788K    292K  fg logd     /system/bin/logd
  173  0   0% S     1   9848K    288K  fg root     /sbin/healthd
  174  0   0% S     1  11012K    372K  fg root     /system/bin/lmkd
  175  0   0% S     1   9544K    324K  fg system   /system/bin/servicemanager
  176  0   0% S     3  18532K    540K  fg root     /system/bin/vold
  182  0   0% S     1   9304K    280K  fg system   /system/bin/6620_launcher
  183  6   0% S     1   9768K    260K  fg radio    /system/bin/ccci_fsd
  184  1   0% S     1  10720K    272K  fg system   /system/bin/ccci_mdinit
  188  6   0% S     1      0K      0K  fg root     kworker/6:1H
  189  0   0% S     1      0K      0K  fg root     mtk_stp_psm
  190  0   0% S     1      0K      0K  fg root     mtk_stp_btm
  192  0   0% S     1      0K      0K  fg root     mtk_wmtd
  193  5   0% S     1      0K      0K  fg root     fm_timer_wq
  194  5   0% S     1      0K      0K  fg root     fm_eint_wq
  196  7   0% S     1      0K      0K  fg root     kworker/7:1H
  197  1   0% S     1      0K      0K  fg root     kworker/1:1H
  198  0   0% S     9  23012K    768K  fg root     /system/bin/netd
  199  0   0% S     1  10864K    344K  fg root     /system/bin/debuggerd
  200  0   0% S     4  54868K    884K  fg drm      /system/bin/drmserver
  201  0   0% S    12 115312K   5404K  fg media    /system/bin/mediaserver
  202  0   0% S     1   9452K    300K  fg install  /system/bin/installd
  203  0   0% S     1  12816K    448K  fg keystore /system/bin/keystore
  204  0   0% S     2  15568K    312K  fg shell    /system/bin/mobile_log_d
  205  1   0% S     2  11520K    268K  fg shell    /system/bin/netdiag
  208  0   0% S     2  17036K    376K  fg system   /system/bin/dm_agent_binder
  209  0   0% S     2  16948K    364K  fg system   /system/bin/ppl_agent
  210  1   0% S     2  16724K    332K  fg system   /system/bin/matv
  211  6   0% S    33  50488K    192K  fg gps      /system/bin/mtk_agpsd
  212  0   0% S     1   9364K    416K  fg wifi     /system/bin/wifi2agps
  213  2   0% S     1      0K      0K  fg root     kworker/2:1H
  214  0   0% S     1  11840K    236K  fg gps      /system/xbin/mnld
  216  4   0% S     2  16888K    340K  fg system   /system/bin/nvram_agent_binder
  218  0   0% S     3  11388K    260K  fg system   /system/bin/thermal
  219  0   0% S     1  10588K    344K  fg system   /system/bin/thermald
  221  0   0% S     1  10580K    392K  fg shell    /system/bin/batterywarning
  222  1   0% S     2  16900K    364K  fg system   /system/bin/MtkCodecService
  223  0   0% S     2  18552K    476K  fg system   /system/bin/guiext-server
  224  1   0% S     6 966624K  13048K  fg root     zygote
